,phone_model,repair_type,repair_center,repair_cost,repair_status,parts_used,repair_duration_days,turnaround_time_days,customer_segment,cost_per_part,repair_month,previous_repairs
0,Model D,Motherboard Replacement,Center D,258.0,Completed,4,2,2,Middle-aged,64.0,4,0
1,Model A,Charging Port Repair,Center A,200.0,Cancelled,1,19,19,Senior,200.0,7,0
2,Model A,Speaker Replacement,Center B,79.0,Cancelled,4,11,11,Senior,20.0,1,0
3,Model D,Button Repair,Center A,73.0,Pending,1,13,13,Senior,73.0,3,0
4,Model B,Screen Replacement,Center D,277.0,In Progress,1,10,10,Young,277.0,3,0
5,Model B,Microphone Repair,Center A,217.0,Completed,2,14,14,Middle-aged,109.0,11,0
6,Model C,Camera Repair,Center D,257.0,Pending,3,18,18,Young,86.0,11,0
7,Model D,Water Damage Repair,Center D,270.0,Pending,4,19,19,Senior,67.0,5,0
8,Model D,Motherboard Replacement,Center A,193.0,Pending,2,9,9,Middle-aged,96.0,3,0
9,Model B,Speaker Replacement,Center B,179.0,Cancelled,1,7,7,Middle-aged,179.0,9,0
10,Model B,Motherboard Replacement,Center C,158.0,In Progress,4,3,3,Middle-aged,39.0,1,0
11,Model D,Camera Repair,Center A,129.0,In Progress,1,6,6,Middle-aged,129.0,8,0
12,Model A,Vibration Motor Repair,Center C,159.0,Completed,3,2,2,Middle-aged,53.0,2,0
13,Model D,Vibration Motor Repair,Center A,243.0,In Progress,2,6,6,Senior,122.0,10,0
14,Model D,Water Damage Repair,Center C,200.0,In Progress,3,3,3,Middle-aged,67.0,4,0
15,Model B,Fingerprint Sensor Repair,Center B,273.0,Pending,2,16,16,Young,137.0,7,0
16,Model B,Proximity Sensor Repair,Center B,161.0,Pending,1,8,8,Senior,161.0,6,0
17,Model A,Charging Port Repair,Center A,202.0,Cancelled,3,2,2,Middle-aged,67.0,2,0
18,Model A,Button Repair,Center D,208.0,Pending,3,17,17,Middle-aged,69.0,6,0
19,Model C,Camera Repair,Center C,198.0,Pending,1,9,9,Middle-aged,198.0,4,0
20,Model D,Display Replacement,Center D,226.0,Pending,3,12,12,Senior,75.0,7,0
21,Model B,Motherboard Replacement,Center D,109.0,Pending,4,3,3,Young,27.0,1,0
22,Model A,Earpiece Replacement,Center D,178.0,Cancelled,2,11,11,Middle-aged,89.0,5,0
23,Model C,Screen Replacement,Center B,76.0,Pending,2,1,1,Senior,38.0,1,0
24,Model C,Speaker Replacement,Center A,146.0,Completed,2,13,13,Middle-aged,73.0,7,0
25,Model B,Battery Replacement,Center A,172.0,Completed,4,15,15,Middle-aged,43.0,3,0
26,Model B,Vibration Motor Repair,Center B,213.0,Completed,2,5,5,Young,107.0,10,0
27,Model C,Speaker Replacement,Center B,288.0,Completed,1,17,17,Middle-aged,288.0,2,0
28,Model A,Vibration Motor Repair,Center A,200.0,Pending,3,6,6,Young,67.0,7,0
29,Model C,Water Damage Repair,Center D,236.0,Completed,4,11,11,Middle-aged,59.0,8,0
30,Model D,Microphone Repair,Center C,177.0,Pending,2,18,18,Young,88.0,2,0
31,Model D,Camera Repair,Center C,209.0,Cancelled,1,4,4,Middle-aged,209.0,2,0
32,Model B,Vibration Motor Repair,Center C,68.0,Completed,3,3,3,Middle-aged,23.0,8,0
33,Model A,Proximity Sensor Repair,Center D,114.0,In Progress,3,13,13,Senior,38.0,9,0
34,Model A,Microphone Repair,Center A,140.0,Completed,4,9,9,Middle-aged,35.0,4,0
35,Model D,Vibration Motor Repair,Center B,168.0,Completed,4,6,6,Young,42.0,5,0
36,Model C,Speaker Replacement,Center A,61.0,Pending,4,12,12,Senior,15.0,9,0
37,Model B,Headphone Jack Repair,Center D,85.0,Completed,1,2,2,Middle-aged,85.0,1,0
38,Model C,Vibration Motor Repair,Center B,119.0,In Progress,1,3,3,Middle-aged,119.0,1,0
39,Model C,Camera Repair,Center D,293.0,Pending,4,3,3,Middle-aged,73.0,10,0
40,Model C,Antenna Replacement,Center C,133.0,Pending,2,12,12,Senior,66.0,6,0
41,Model A,Button Repair,Center C,171.0,Cancelled,3,15,15,Senior,57.0,3,0
42,Model D,Display Replacement,Center D,99.0,Cancelled,3,9,9,Senior,33.0,4,0
43,Model A,Charging Port Repair,Center B,203.0,Completed,1,8,8,Young,203.0,4,0
44,Model D,Vibration Motor Repair,Center B,120.0,Cancelled,3,11,11,Middle-aged,40.0,7,0
45,Model B,Button Repair,Center A,102.0,Cancelled,2,16,16,Senior,51.0,7,0
46,Model B,Motherboard Replacement,Center C,179.0,Cancelled,3,4,4,Middle-aged,60.0,7,0
47,Model C,Vibration Motor Repair,Center A,51.0,Pending,1,1,1,Young,51.0,7,0
48,Model D,Speaker Replacement,Center A,52.0,Pending,1,7,7,Senior,52.0,7,0
49,Model D,Water Damage Repair,Center D,105.0,Pending,2,2,2,Senior,52.0,4,0
